a0003200,2003200,  3200 Phaethon (1983 TB),3200,Phaethon,14.51, ,5.1, ,0.1066,3.604, , ,B,F, ,0.2,JPL 349,2456400.5,56400,20130418,J2000,0.889934079,1.27128316,0.139924952,22.2404651,265.2668428,322.1484537,241.132427,2.402641368,0.687607544,2456573.371,20131007.87,523.5544653,1.433414005,0.0199413,7.760555721,4.51,2.31E-08,2.01E-09,2.94E-08,6.95E-06,9.70E-06,9.29E-06,6.89E-06,3.81E-09,1.63E-09,1.04E-05,1.24E-06,APO,Otto Matic,10699,10/11/1983,01/25/2013,2516,1,0,0,0.51224
a0003361,2003361,  3361 Orpheus (1982 HR),3361,Orpheus,19.03, ,0.3, , ,3.58,1.022,0.503, , , , ,JPL 61,2456400.5,56400,20130418,J2000,0.322778287,1.209691416,0.819229293,2.684968023,189.5269635,301.6825097,154.7384544,1.600153539,0.740784992,2456191.616,20120921.12,485.9709682,1.330515998,0.0138517,5.390666089,5.213,7.16E-08,1.78E-09,8.75E-08,7.76E-06,6.21E-05,6.40E-05,2.21E-05,2.36E-09,1.64E-09,2.97E-05,1.07E-06,APO,Otto Matic,10214,04/24/1982,04/11/2010,457, , ,0,0.58865
a0003362,2003362,  3362 Khufu (1984 QA),3362,Khufu,18.3, ,0.7, ,0.21, , , , , , , ,JPL 21,2456400.5,56400,20130418,J2000,0.468549457,0.989436614,0.525836626,9.917118869,152.4594034,55.03926764,114.3903355,1.453036602,1.001433483,2456286.273,20121224.77,359.4846849,0.984215427,0.013453,5.23550401,6.018,3.90E-07,9.38E-09,3.90E-07,9.51E-06,4.40E-05,3.90E-05,9.00E-05,1.38E-08,1.42E-08,8.82E-05,5.11E-06,ATE,Otto Matic,7393,08/31/1984,11/27/2004,264, , ,0,0.72412
a0003671,2003671,  3671 Dionysus (1984 KD),3671,Dionysus,16.3, ,1.5, ,0.16,2.7053, , ,Cb, , , ,JPL 67,2456400.5,56400,20130418,J2000,0.542436606,2.197481093,1.005486907,13.55018067,82.16239051,204.201842,301.877142,3.389475279,0.302563373,2456592.601,20131027.1,1189.833377,3.257586248,0.0188444,7.333675148,3.429,2.08E-08,1.22E-09,4.57E-08,5.86E-06,1.15E-05,1.52E-05,5.87E-06,1.88E-09,2.51E-10,1.95E-05,9.88E-07,APO,Otto Matic,10559,05/27/1984,04/24/2013,456, , ,0,0.61475
a0003757,2003757,  3757 (1982 XB),3757, ,18.95, ,0.5, ,0.18,9.0046,0.859,0.522, ,S, , ,JPL 38,2456400.5,56400,20130418,J2000,0.445689532,1.834720667,1.017004872,3.868691738,74.98628114,17.12969118,68.10583222,2.652436462,0.396596744,2456228.774,20121028.27,907.7230346,2.485210225,0.0367355,14.29635454,3.897,3.52E-08,1.57E-09,6.48E-08,7.34E-06,4.88E-05,5.22E-05,6.81E-06,2.27E-09,5.09E-10,1.70E-05,1.17E-06,AMO,Otto Matic,11114,12/14/1982,05/19/2013,151,0,2,0,0.82165
a0004015,2004015,  4015 Wilson-Harrington (1979 VA),4015,Wilson-Harrington,15.99, ,4, ,0.05,3.5736,0.666,0.279, ,CF, ,0.5,JPL 148,2456400.5,56400,20130418,J2000,0.623589541,2.640555272,0.993932622,2.784685545,270.4080806,91.446145,292.6389325,4.287177921,0.229700098,2456693.757,20140205.26,1567.260978,4.290926703,0.0473382,18.42260729,3.083,3.49E-08,3.03E-09,9.24E-08,6.24E-06,9.23E-05,9.25E-05,2.65E-06,4.92E-09,3.95E-10,1.19E-05,2.70E-06,APO,Otto Matic,23204,11/19/1949,05/31/2013,864, , ,0,0.64055
a0004034,2004034,  4034 Vishnu (1986 PA),4034,Vishnu,18.1, ,0.42, ,0.52, , , ,O, , , ,JPL 63,2456400.5,56400,20130418,J2000,0.444072106,1.059577849,0.589048882,11.16849098,157.982296,296.579037,65.47028808,1.530106816,0.903659395,2456328.05,20130204.55,398.3801885,1.090705513,0.0191097,7.436921949,5.704,6.02E-08,2.14E-09,6.35E-08,5.71E-06,3.56E-05,3.21E-05,1.15E-05,3.09E-09,2.74E-09,1.27E-05,1.21E-06,APO,Otto Matic,9810,08/02/1986,06/11/2013,466,0,1,0,0.51061
a0004179,2004179,  4179 Toutatis (1989 AC),4179,Toutatis,15.3,0.1,5.4,1.70x2.03x4.26, ,176, , ,Sk, , , ,JPL 480,2456400.5,56400,20130418,J2000,0.63002661,2.533513685,0.937332646,0.447098513,124.3490123,278.7580113,37.47056143,4.129694723,0.244410124,2456247.19,20121115.69,1472.934073,4.03267371,0.00602015,2.342861776,3.138,5.95E-10,1.46E-10,1.46E-09,1.41E-07,2.60E-05,2.58E-05,2.74E-08,2.37E-10,2.11E-11,1.16E-07,1.27E-07,APO,Otto Matic,28969,02/10/1934,06/04/2013,5119,29,28,0,0.50752
a0004183,2004183,  4183 Cuno (1959 LM),4183,Cuno,14.4, , , , ,3.5595, , ,Sq, , , ,JPL 221,2456400.5,56400,20130418,J2000,0.63413551,1.982354034,0.725272947,6.707198326,294.9318911,236.2774392,133.2945348,3.239435121,0.353128074,2456023.032,20120405.53,1019.460153,2.791129781,0.0287157,11.17528897,3.573,2.81E-08,4.91E-09,5.51E-08,4.83E-06,4.11E-05,4.13E-05,7.35E-06,8.03E-09,1.31E-09,1.97E-05,3.79E-06,APO,Otto Matic,19404,06/05/1959,07/20/2012,1334,1,0,0,0.52497
a0004450,2004450,  4450 Pan (1987 SY),4450,Pan,17.2, , , , ,60, , , , , , ,JPL 105,2456400.5,56400,20130418,J2000,0.586771911,1.442318368,0.596006464,5.519852606,311.8640096,291.7845773,322.2593317,2.288630273,0.569000139,2456466.828,20130623.33,632.6887737,1.732207457,0.0283836,11.04604561,4.456,2.59E-08,4.37E-09,3.80E-08,6.81E-06,2.02E-05,2.05E-05,5.04E-06,6.94E-09,2.59E-09,9.16E-06,2.88E-06,APO,Otto Matic,9450,09/25/1987,08/09/2013,597,1,0,0,0.53742
a0004486,2004486,  4486 Mithra (1987 SB),4486,Mithra,15.6, , ,2.35 x 1.65 x 1.44, ,67.5, , , , , , ,JPL 147,2456400.5,56400,20130418,J2000,0.662906091,2.199660712,0.741492227,3.039722788,82.24986203,168.9030349,328.3996548,3.657829197,0.302113775,2456505.097,20130731.6,1191.604059,3.262434111,0.0462913,18.01518522,3.338,2.16E-08,4.32E-09,4.82E-08,3.17E-06,9.56E-05,9.38E-05,4.61E-06,7.18E-09,8.89E-10,1.56E-05,3.51E-06,APO,Otto Matic,9684,01/29/1987,08/04/2013,642,8,9,0,0.55339
